"Age1" "Age2" "Age3" "Age4" "Age5" "Age6" "Age7" "Age8" "Sim"
16842232.498912 1997278.299242 1662495.425114 1451296.73941 413578.91136 370548.002818 377993.690227 671238.117545 2
8047536.619069 7492167.234028 1040284.978172 951666.359841 882338.237266 257428.908528 236317.978181 683617.326679 2
9132061.12006 3579900.983595 3902609.613517 595657.175788 578788.047539 549490.327665 164261.438998 600188.954034 2
13788093.12279 4062315.815721 1862881.210736 2226729.498069 360609.460577 358058.929444 348295.90066 495607.066368 2
18300152.854944 6133524.091035 2114575.976358 1064084.57827 1349992.414624 223550.247332 227429.032171 547379.910459 2
7985562.331603 8140665.341298 3192026.65719 1206938.270128 644482.909056 835695.748427 141789.925737 502329.379548 2
6899387.941243 3552267.85339 4229966.275416 1811872.437966 725763.181914 394819.624221 524552.395394 413512.294053 2
28358593.574789 3069105.738175 1846420.231148 2403922.074419 1091233.17718 445623.274238 248384.802257 601933.966402 2
8942476.137481 12614975.859682 1595504.283163 1049857.969107 1448745.870237 670654.772938 280609.699973 547325.024414 2
16249709.053454 3978004.806463 6569926.339839 913023.75172 638009.228127 901211.431486 427451.510983 539197.917588 2
8374655.544637 7228608.216961 2072790.370148 3766238.418838 556124.58768 398200.18346 576307.860634 631099.966787 2
6151885.466801 3725420.295965 3765642.94751 1187215.271532 2291458.226997 346531.253624 254229.020747 786783.949234 2
