"Sim" "Mselectivity" "Maturity" "Weight" "Fselectivity" "UnfishedNAA"
75 0.67 0.63 0.073 0.53 2918555.91410268
75 0.59 0.98 0.11 0.69 1696197.43711112
75 0.55 1 0.14 1 1051785.23473759
75 0.52 1 0.16 1 673672.591073548
75 0.5 1 0.18 1 442103.590810522
75 0.49 1 0.21 1 900103.722088287
76 1 0 0.018 0.0011 12542074.3976634
76 0.8 0.02 0.04 0.15 5579442.96296882
76 0.67 0.63 0.073 0.53 2918555.91410268
76 0.59 0.98 0.11 0.69 1696197.43711112
76 0.55 1 0.14 1 1051785.23473759
76 0.52 1 0.16 1 673672.591073548
76 0.5 1 0.18 1 442103.590810522
76 0.49 1 0.21 1 900103.722088287
77 1 0 0.018 0.0011 12542074.3976634
77 0.8 0.02 0.04 0.15 5579442.96296882
77 0.67 0.63 0.073 0.53 2918555.91410268
77 0.59 0.98 0.11 0.69 1696197.43711112
77 0.55 1 0.14 1 1051785.23473759
77 0.52 1 0.16 1 673672.591073548
77 0.5 1 0.18 1 442103.590810522
77 0.49 1 0.21 1 900103.722088287
78 1 0 0.018 0.0011 12542074.3976634
78 0.8 0.02 0.04 0.15 5579442.96296882
78 0.67 0.63 0.073 0.53 2918555.91410268
78 0.59 0.98 0.11 0.69 1696197.43711112
78 0.55 1 0.14 1 1051785.23473759
78 0.52 1 0.16 1 673672.591073548
78 0.5 1 0.18 1 442103.590810522
78 0.49 1 0.21 1 900103.722088287
79 1 0 0.018 0.0011 12542074.3976634
79 0.8 0.02 0.04 0.15 5579442.96296882
79 0.67 0.63 0.073 0.53 2918555.91410268
79 0.59 0.98 0.11 0.69 1696197.43711112
79 0.55 1 0.14 1 1051785.23473759
79 0.52 1 0.16 1 673672.591073548
79 0.5 1 0.18 1 442103.590810522
79 0.49 1 0.21 1 900103.722088287
80 1 0 0.018 0.0011 12542074.3976634
80 0.8 0.02 0.04 0.15 5579442.96296882
80 0.67 0.63 0.073 0.53 2918555.91410268
80 0.59 0.98 0.11 0.69 1696197.43711112
80 0.55 1 0.14 1 1051785.23473759
80 0.52 1 0.16 1 673672.591073548
80 0.5 1 0.18 1 442103.590810522
80 0.49 1 0.21 1 900103.722088287
81 1 0 0.018 0.0011 12542074.3976634
81 0.8 0.02 0.04 0.15 5579442.96296882
81 0.67 0.63 0.073 0.53 2918555.91410268
81 0.59 0.98 0.11 0.69 1696197.43711112
81 0.55 1 0.14 1 1051785.23473759
81 0.52 1 0.16 1 673672.591073548
81 0.5 1 0.18 1 442103.590810522
81 0.49 1 0.21 1 900103.722088287
82 1 0 0.018 0.0011 12542074.3976634
82 0.8 0.02 0.04 0.15 5579442.96296882
82 0.67 0.63 0.073 0.53 2918555.91410268
82 0.59 0.98 0.11 0.69 1696197.43711112
82 0.55 1 0.14 1 1051785.23473759
82 0.52 1 0.16 1 673672.591073548
82 0.5 1 0.18 1 442103.590810522
82 0.49 1 0.21 1 900103.722088287
83 1 0 0.018 0.0011 12542074.3976634
83 0.8 0.02 0.04 0.15 5579442.96296882
83 0.67 0.63 0.073 0.53 2918555.91410268
83 0.59 0.98 0.11 0.69 1696197.43711112
83 0.55 1 0.14 1 1051785.23473759
83 0.52 1 0.16 1 673672.591073548
83 0.5 1 0.18 1 442103.590810522
83 0.49 1 0.21 1 900103.722088287
84 1 0 0.018 0.0011 12542074.3976634
84 0.8 0.02 0.04 0.15 5579442.96296882
84 0.67 0.63 0.073 0.53 2918555.91410268
84 0.59 0.98 0.11 0.69 1696197.43711112
84 0.55 1 0.14 1 1051785.23473759
84 0.52 1 0.16 1 673672.591073548
84 0.5 1 0.18 1 442103.590810522
84 0.49 1 0.21 1 900103.722088287
85 1 0 0.018 0.0011 12542074.3976634
85 0.8 0.02 0.04 0.15 5579442.96296882
85 0.67 0.63 0.073 0.53 2918555.91410268
85 0.59 0.98 0.11 0.69 1696197.43711112
85 0.55 1 0.14 1 1051785.23473759
85 0.52 1 0.16 1 673672.591073548
85 0.5 1 0.18 1 442103.590810522
85 0.49 1 0.21 1 900103.722088287
86 1 0 0.018 0.0011 12542074.3976634
86 0.8 0.02 0.04 0.15 5579442.96296882
86 0.67 0.63 0.073 0.53 2918555.91410268
86 0.59 0.98 0.11 0.69 1696197.43711112
86 0.55 1 0.14 1 1051785.23473759
86 0.52 1 0.16 1 673672.591073548
86 0.5 1 0.18 1 442103.590810522
86 0.49 1 0.21 1 900103.722088287
87 1 0 0.018 0.0011 12542074.3976634
87 0.8 0.02 0.04 0.15 5579442.96296882
87 0.67 0.63 0.073 0.53 2918555.91410268
87 0.59 0.98 0.11 0.69 1696197.43711112
87 0.55 1 0.14 1 1051785.23473759
87 0.52 1 0.16 1 673672.591073548
87 0.5 1 0.18 1 442103.590810522
87 0.49 1 0.21 1 900103.722088287
88 1 0 0.018 0.0011 12542074.3976634
88 0.8 0.02 0.04 0.15 5579442.96296882
88 0.67 0.63 0.073 0.53 2918555.91410268
88 0.59 0.98 0.11 0.69 1696197.43711112
88 0.55 1 0.14 1 1051785.23473759
88 0.52 1 0.16 1 673672.591073548
88 0.5 1 0.18 1 442103.590810522
88 0.49 1 0.21 1 900103.722088287
89 1 0 0.018 0.0011 12542074.3976634
89 0.8 0.02 0.04 0.15 5579442.96296882
89 0.67 0.63 0.073 0.53 2918555.91410268
89 0.59 0.98 0.11 0.69 1696197.43711112
89 0.55 1 0.14 1 1051785.23473759
89 0.52 1 0.16 1 673672.591073548
89 0.5 1 0.18 1 442103.590810522
89 0.49 1 0.21 1 900103.722088287
90 1 0 0.018 0.0011 12542074.3976634
90 0.8 0.02 0.04 0.15 5579442.96296882
90 0.67 0.63 0.073 0.53 2918555.91410268
90 0.59 0.98 0.11 0.69 1696197.43711112
90 0.55 1 0.14 1 1051785.23473759
90 0.52 1 0.16 1 673672.591073548
90 0.5 1 0.18 1 442103.590810522
90 0.49 1 0.21 1 900103.722088287
91 1 0 0.018 0.0011 12542074.3976634
91 0.8 0.02 0.04 0.15 5579442.96296882
91 0.67 0.63 0.073 0.53 2918555.91410268
91 0.59 0.98 0.11 0.69 1696197.43711112
91 0.55 1 0.14 1 1051785.23473759
91 0.52 1 0.16 1 673672.591073548
91 0.5 1 0.18 1 442103.590810522
91 0.49 1 0.21 1 900103.722088287
92 1 0 0.018 0.0011 12542074.3976634
92 0.8 0.02 0.04 0.15 5579442.96296882
92 0.67 0.63 0.073 0.53 2918555.91410268
92 0.59 0.98 0.11 0.69 1696197.43711112
92 0.55 1 0.14 1 1051785.23473759
92 0.52 1 0.16 1 673672.591073548
92 0.5 1 0.18 1 442103.590810522
92 0.49 1 0.21 1 900103.722088287
93 1 0 0.018 0.0011 12542074.3976634
93 0.8 0.02 0.04 0.15 5579442.96296882
93 0.67 0.63 0.073 0.53 2918555.91410268
93 0.59 0.98 0.11 0.69 1696197.43711112
93 0.55 1 0.14 1 1051785.23473759
93 0.52 1 0.16 1 673672.591073548
93 0.5 1 0.18 1 442103.590810522
93 0.49 1 0.21 1 900103.722088287
94 1 0 0.018 0.0011 12542074.3976634
94 0.8 0.02 0.04 0.15 5579442.96296882
94 0.67 0.63 0.073 0.53 2918555.91410268
94 0.59 0.98 0.11 0.69 1696197.43711112
94 0.55 1 0.14 1 1051785.23473759
94 0.52 1 0.16 1 673672.591073548
94 0.5 1 0.18 1 442103.590810522
94 0.49 1 0.21 1 900103.722088287
95 1 0 0.018 0.0011 12542074.3976634
95 0.8 0.02 0.04 0.15 5579442.96296882
95 0.67 0.63 0.073 0.53 2918555.91410268
95 0.59 0.98 0.11 0.69 1696197.43711112
95 0.55 1 0.14 1 1051785.23473759
95 0.52 1 0.16 1 673672.591073548
95 0.5 1 0.18 1 442103.590810522
95 0.49 1 0.21 1 900103.722088287
96 1 0 0.018 0.0011 12542074.3976634
96 0.8 0.02 0.04 0.15 5579442.96296882
96 0.67 0.63 0.073 0.53 2918555.91410268
96 0.59 0.98 0.11 0.69 1696197.43711112
96 0.55 1 0.14 1 1051785.23473759
96 0.52 1 0.16 1 673672.591073548
96 0.5 1 0.18 1 442103.590810522
96 0.49 1 0.21 1 900103.722088287
97 1 0 0.018 0.0011 12542074.3976634
97 0.8 0.02 0.04 0.15 5579442.96296882
97 0.67 0.63 0.073 0.53 2918555.91410268
97 0.59 0.98 0.11 0.69 1696197.43711112
97 0.55 1 0.14 1 1051785.23473759
97 0.52 1 0.16 1 673672.591073548
97 0.5 1 0.18 1 442103.590810522
97 0.49 1 0.21 1 900103.722088287
98 1 0 0.018 0.0011 12542074.3976634
98 0.8 0.02 0.04 0.15 5579442.96296882
98 0.67 0.63 0.073 0.53 2918555.91410268
98 0.59 0.98 0.11 0.69 1696197.43711112
98 0.55 1 0.14 1 1051785.23473759
98 0.52 1 0.16 1 673672.591073548
98 0.5 1 0.18 1 442103.590810522
98 0.49 1 0.21 1 900103.722088287
99 1 0 0.018 0.0011 12542074.3976634
99 0.8 0.02 0.04 0.15 5579442.96296882
99 0.67 0.63 0.073 0.53 2918555.91410268
99 0.59 0.98 0.11 0.69 1696197.43711112
99 0.55 1 0.14 1 1051785.23473759
99 0.52 1 0.16 1 673672.591073548
99 0.5 1 0.18 1 442103.590810522
99 0.49 1 0.21 1 900103.722088287
100 1 0 0.018 0.0011 12542074.3976634
100 0.8 0.02 0.04 0.15 5579442.96296882
100 0.67 0.63 0.073 0.53 2918555.91410268
100 0.59 0.98 0.11 0.69 1696197.43711112
100 0.55 1 0.14 1 1051785.23473759
100 0.52 1 0.16 1 673672.591073548
100 0.5 1 0.18 1 442103.590810522
100 0.49 1 0.21 1 900103.722088287
